task_id,seed,condition,a_cards,a_write_linked_cards,b_candidates,b_material_decisions,db_transition,exact_transition,c0_db_match,treatment_db_match,c0_exact_mutation,treatment_exact_mutation,treatment_diagnostics,attributionsstaerke,attributionsbegruendung
1,976303,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976303,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976303,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976304,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976304,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976305,C1_SEMANTIC_SUPPORT,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
1,976305,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976305,C3_COMBINED_INTERVENTION,2,1,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976306,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976306,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976306,C3_COMBINED_INTERVENTION,2,1,2,1,stable_pass,stable_pass,1,1,1,1,[],,
2,976301,C1_SEMANTIC_SUPPORT,3,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976301,C2_PREWRITE_CONTROL,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""4202497723"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""4602305039"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""9408160950"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}]",,
2,976301,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976302,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976302,C3_COMBINED_INTERVENTION,2,0,0,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""4202497723"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""4602305039"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""9408160950"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}]",,
2,976303,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976303,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976303,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976304,C3_COMBINED_INTERVENTION,3,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976305,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976305,C2_PREWRITE_CONTROL,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""4202497723"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}]",,
2,976305,C3_COMBINED_INTERVENTION,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""4202497723"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""4602305039"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""9408160950"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}]",,
2,976306,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976306,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
2,976306,C3_COMBINED_INTERVENTION,2,0,0,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""4202497723"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""4602305039"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}, {""actual"": null, ""expected"": {""item_id"": ""9408160950"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""missing_effect""}]",,
3,976301,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976301,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976301,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976302,C2_PREWRITE_CONTROL,0,0,2,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""9647292434"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976302,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976303,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976303,C2_PREWRITE_CONTROL,0,0,2,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""9647292434"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976303,C3_COMBINED_INTERVENTION,3,2,2,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""9647292434"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976304,C1_SEMANTIC_SUPPORT,4,2,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""5253880258"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976304,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976305,C1_SEMANTIC_SUPPORT,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""9647292434"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976305,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976305,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976306,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
3,976306,C2_PREWRITE_CONTROL,0,0,2,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""3799046073"", ""new_item_id"": ""9647292434"", ""operation"": ""modify_pending_order_items"", ""order_id"": ""#W6247578"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
3,976306,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976301,C1_SEMANTIC_SUPPORT,3,2,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976301,C2_PREWRITE_CONTROL,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976301,C3_COMBINED_INTERVENTION,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976302,C1_SEMANTIC_SUPPORT,3,2,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976302,C2_PREWRITE_CONTROL,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976302,C3_COMBINED_INTERVENTION,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
4,976303,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976303,C2_PREWRITE_CONTROL,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976303,C3_COMBINED_INTERVENTION,3,2,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976304,C1_SEMANTIC_SUPPORT,3,2,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976304,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
4,976304,C3_COMBINED_INTERVENTION,3,2,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976305,C1_SEMANTIC_SUPPORT,3,2,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976305,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
4,976305,C3_COMBINED_INTERVENTION,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976306,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976306,C2_PREWRITE_CONTROL,0,0,2,0,stable_pass,stable_pass,1,1,1,1,[],,
4,976306,C3_COMBINED_INTERVENTION,3,2,2,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976301,C1_SEMANTIC_SUPPORT,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": null, ""expected"": {""item_id"": ""8538875209"", ""operation"": ""return_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""kind"": ""missing_effect""}, {""actual"": {""item_id"": ""8384507844"", ""new_item_id"": ""7453605304"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
5,976301,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976301,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,saved,saved,0,1,0,1,[],,
5,976302,C2_PREWRITE_CONTROL,0,0,1,0,saved,saved,0,1,0,1,[],,
5,976302,C3_COMBINED_INTERVENTION,2,1,1,0,saved,saved,0,1,0,1,[],,
5,976303,C1_SEMANTIC_SUPPORT,3,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976303,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976303,C3_COMBINED_INTERVENTION,4,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976304,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976305,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976305,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976305,C3_COMBINED_INTERVENTION,3,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976306,C1_SEMANTIC_SUPPORT,3,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976306,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
5,976306,C3_COMBINED_INTERVENTION,3,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976301,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976301,C2_PREWRITE_CONTROL,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7661609223"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
6,976301,C3_COMBINED_INTERVENTION,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7661609223"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
6,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,saved,saved,0,1,0,1,[],,
6,976302,C2_PREWRITE_CONTROL,0,0,1,0,saved,saved,0,1,0,1,[],,
6,976302,C3_COMBINED_INTERVENTION,2,1,1,0,saved,saved,0,1,0,1,[],,
6,976303,C1_SEMANTIC_SUPPORT,3,1,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7843064651"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
6,976303,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976303,C3_COMBINED_INTERVENTION,3,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976304,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976304,C3_COMBINED_INTERVENTION,3,1,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7661609223"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
6,976305,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976305,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976305,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976306,C1_SEMANTIC_SUPPORT,4,1,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8384507844"", ""new_item_id"": ""9190635437"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": {""item_id"": ""8384507844"", ""new_item_id"": ""7453605304"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""kind"": ""wrong_parameter""}]",,
6,976306,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
6,976306,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976301,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_fail,stable_fail,0,0,0,0,"[{""actual"": {""item_id"": ""8384507844"", ""new_item_id"": ""5320792178"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": {""item_id"": ""8384507844"", ""new_item_id"": ""1569765161"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""kind"": ""wrong_parameter""}]",,
7,976301,C2_PREWRITE_CONTROL,0,0,1,0,saved,saved,0,1,0,1,[],,
7,976301,C3_COMBINED_INTERVENTION,0,0,1,0,saved,saved,0,1,0,1,[],,
7,976302,C1_SEMANTIC_SUPPORT,3,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976302,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976302,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976303,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976303,C2_PREWRITE_CONTROL,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8384507844"", ""new_item_id"": ""9083642334"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": {""item_id"": ""8384507844"", ""new_item_id"": ""1569765161"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""kind"": ""wrong_parameter""}]",,
7,976303,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976304,C3_COMBINED_INTERVENTION,2,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976305,C1_SEMANTIC_SUPPORT,3,1,0,0,saved,saved,0,1,0,1,[],,
7,976305,C2_PREWRITE_CONTROL,0,0,1,0,saved,saved,0,1,0,1,[],,
7,976305,C3_COMBINED_INTERVENTION,2,1,1,0,saved,saved,0,1,0,1,[],,
7,976306,C1_SEMANTIC_SUPPORT,0,0,0,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976306,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
7,976306,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976301,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976301,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976301,C3_COMBINED_INTERVENTION,3,1,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976302,C1_SEMANTIC_SUPPORT,0,0,0,0,saved,saved,0,1,0,1,[],,
8,976302,C2_PREWRITE_CONTROL,0,0,1,0,saved,saved,0,1,0,1,[],,
8,976302,C3_COMBINED_INTERVENTION,0,0,1,0,saved,saved,0,1,0,1,[],,
8,976303,C1_SEMANTIC_SUPPORT,3,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976303,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976303,C3_COMBINED_INTERVENTION,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7661609223"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
8,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7843064651"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
8,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976304,C3_COMBINED_INTERVENTION,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976305,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976305,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
8,976305,C3_COMBINED_INTERVENTION,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""8538875209"", ""new_item_id"": ""7661609223"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
